scenario,cpu,baseline,optimized,n_baseline,n_optimized,U,p_value,p_value_holm,PS_prob_opt_lt_base,cliffs_delta,p75_baseline_ms,p75_optimized_ms,delta_p75_pct
form,2.0,B0,I4,15,15,143.0,0.2092736595418072,0.6278209786254216,0.36444444444444446,-0.2711111111111111,1132.0,1156.0,2.1201413427561837
form,4.0,B0,I1,15,15,36.0,0.0015056876706023912,0.006022750682409565,0.84,0.6799999999999999,2316.0,2240.0,-3.2815198618307426
form,4.0,B0,I2,15,15,0.0,2.081990361405539e-06,1.1038291169726425e-05,1.0,1.0,2316.0,32.0,-98.61830742659758
form,4.0,B0,I2+I3,15,15,0.0,1.2493054486754068e-06,9.994443589403255e-06,1.0,1.0,2316.0,24.0,-98.96373056994818
form,4.0,B0,I2+I3+I4,15,15,0.0,1.5536619322938904e-06,1.0875633526057234e-05,1.0,1.0,2316.0,24.0,-98.96373056994818
form,4.0,B0,I2+I4,15,15,0.0,1.8397151949544041e-06,1.1038291169726425e-05,1.0,1.0,2316.0,28.0,-98.79101899827289
form,4.0,B0,I3,15,15,107.5,0.8515909757890054,0.8515909757890054,0.5222222222222221,0.04444444444444429,2316.0,2304.0,-0.5181347150259067
form,4.0,B0,I3+I4,15,15,59.5,0.028788446248626618,0.057576892497253236,0.7355555555555555,0.47111111111111104,2316.0,2252.0,-2.763385146804836
form,4.0,B0,I4,15,15,55.0,0.017785348169156345,0.05335604450746903,0.7555555555555555,0.5111111111111111,2316.0,2264.0,-2.245250431778929
form,6.0,B0,I1,15,15,224.0,3.686331506818694e-06,1.4745326027274776e-05,0.004444444444444473,-0.991111111111111,3344.0,3408.0,1.9138755980861244
form,6.0,B0,I2,15,15,0.0,2.0594324092866566e-06,1.4416026865006597e-05,1.0,1.0,3344.0,32.0,-99.04306220095694
form,6.0,B0,I2+I3,15,15,0.0,2.1162127393517795e-06,1.4416026865006597e-05,1.0,1.0,3344.0,32.0,-99.04306220095694
form,6.0,B0,I2+I3+I4,15,15,0.0,2.0594324092866566e-06,1.4416026865006597e-05,1.0,1.0,3344.0,32.0,-99.04306220095694
form,6.0,B0,I2+I4,15,15,0.0,9.399646163654631e-07,7.519716930923705e-06,1.0,1.0,3344.0,24.0,-99.2822966507177
form,6.0,B0,I3,15,15,172.5,0.013205989020160588,0.035281511590885946,0.23333333333333328,-0.5333333333333334,3344.0,3404.0,1.7942583732057416
form,6.0,B0,I3+I4,15,15,173.5,0.011760503863628648,0.035281511590885946,0.22888888888888892,-0.5422222222222222,3344.0,3472.0,3.827751196172249
form,6.0,B0,I4,15,15,89.0,0.33227469002966026,0.33227469002966026,0.6044444444444445,0.2088888888888889,3344.0,3320.0,-0.7177033492822966
form,8.0,B0,I1,15,15,89.5,0.349882312369161,1.0,0.6022222222222222,0.20444444444444443,4648.0,4604.0,-0.9466437177280551
form,8.0,B0,I2,15,15,0.0,2.4072202948232137e-06,1.7917604017835695e-05,1.0,1.0,4648.0,32.0,-99.31153184165233
form,8.0,B0,I2+I3,15,15,0.0,2.394464806953806e-06,1.7917604017835695e-05,1.0,1.0,4648.0,32.0,-99.31153184165233
form,8.0,B0,I2+I3+I4,15,15,0.0,2.239700502229462e-06,1.7917604017835695e-05,1.0,1.0,4648.0,32.0,-99.31153184165233
form,8.0,B0,I2+I4,15,15,0.0,2.6466495836129666e-06,1.7917604017835695e-05,1.0,1.0,4648.0,40.0,-99.1394148020654
form,8.0,B0,I3,15,15,43.0,0.00418883329028174,0.01675533316112696,0.8088888888888889,0.6177777777777778,4648.0,4524.0,-2.667814113597246
form,8.0,B0,I3+I4,15,15,101.5,0.6616632869021917,1.0,0.5488888888888889,0.09777777777777774,4648.0,4592.0,-1.2048192771084338
form,8.0,B0,I4,15,15,110.0,0.9334567029087102,1.0,0.5111111111111111,0.022222222222222143,4648.0,4892.0,5.249569707401033
