scenario,variant,rep,cpu,INP,INP_W,INP_H,INP_R,LoAFsum,LoAFcount,LoAFsum_500ms,LoAFcount_500ms,LoAFany_500ms,source_dir
form,I2+I3+I4,6,2.0,32,0.699999988079071,0.0,31.30000001192093,1302.3739999523164,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,7,2.0,24,0.699999988079071,0.10000002384185791,23.19999998807907,1322.211999988079,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,8,2.0,24,0.6000000238418579,0.0,23.399999976158142,1319.5650000238418,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,9,2.0,32,0.6000000238418579,0.0,31.399999976158142,1300.0929999761581,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,10,2.0,24,0.6000000238418579,0.0,23.399999976158142,1291.652,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,11,2.0,24,0.5,0.0,23.5,1307.3730000238418,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,12,2.0,24,0.9000000357627869,0.0,23.099999964237213,1307.4069999523163,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,13,2.0,24,0.3999999761581421,0.0,23.600000023841858,1295.1289999523162,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,14,2.0,24,0.6000000238418579,0.0,23.399999976158142,1296.77,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I2+I3+I4,15,2.0,24,0.5,0.0,23.5,1278.6510000476837,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,1,2.0,1136,0.7999999523162842,1113.0,22.200000047683716,2422.1999999284744,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,2,2.0,1112,0.800000011920929,1092.1000000238419,19.099999964237213,2384.9999999403954,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,3,2.0,1312,0.5,0.0,1311.5,2641.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,4,2.0,1112,0.699999988079071,1094.0999999642372,17.200000047683716,2395.5,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,5,2.0,1128,0.5,1108.8999999761581,18.600000023841858,2401.4000000953674,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,6,2.0,1136,0.699999988079071,1111.8999999761581,23.400000035762787,2438.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,7,2.0,1112,0.7999999523162842,1094.5,16.700000047683716,2398.199999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,8,2.0,1144,0.3999999761581421,1126.5,17.100000023841858,2446.400000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,9,2.0,1384,0.699999988079071,1362.5,20.80000001192093,2678.199999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,10,2.0,1176,0.5,1157.7999999523163,17.700000047683716,2526.0,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,11,2.0,1152,0.6000000238418579,1134.5,16.899999976158142,2470.400000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,12,2.0,1152,0.800000011920929,1136.1000000238419,15.099999964237213,2471.599999964237,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,13,2.0,1400,0.699999988079071,1383.800000011921,15.5,2725.5000000596046,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,14,2.0,1168,0.6000000238418579,1150.699999988079,16.69999998807907,2488.400000035763,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,15,2.0,1120,0.5999999642372131,1101.0,18.400000035762787,2414.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx2
form,I3,1,4.0,2296,1.699999988079071,2251.199999988079,43.10000002384186,4826.099999964237,4,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,2,4.0,2472,1.899999976158142,2447.100000023842,23.0,4972.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,3,4.0,2328,1.5,2304.400000035763,22.099999964237213,4856.199999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,4,4.0,2288,1.300000011920929,2261.399999976158,25.30000001192093,4742.899999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,5,4.0,2296,1.300000011920929,2270.699999988079,24.0,4703.0,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,6,4.0,2312,0.800000011920929,2285.899999976158,25.30000001192093,4737.800000011921,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,7,4.0,2320,1.199999988079071,2298.400000035763,20.399999976158142,4750.299999952316,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,8,4.0,2280,1.5999999642372131,2250.800000011921,27.600000023841858,4662.600000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,9,4.0,2248,1.399999976158142,2225.100000023842,21.5,4647.000000119209,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,10,4.0,2256,1.4000000357627869,2235.699999988079,18.899999976158142,4628.599999964237,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,11,4.0,2208,0.8999999761581421,2188.800000011921,18.30000001192093,4533.100000023842,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,12,4.0,2256,1.0,2235.2999999523163,19.700000047683716,4667.699999988079,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,13,4.0,2264,0.8999999761581421,2237.5,25.600000023841858,4634.099999964237,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,14,4.0,2280,1.2000000476837158,2263.399999976158,15.399999976158142,4695.899999976158,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I3,15,4.0,2280,1.399999976158142,2260.600000023842,18.0,4674.200000047684,3,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I2,1,4.0,24,0.9000000357627869,0.0,23.099999964237213,2366.156999976158,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I2,2,4.0,32,0.30000001192092896,0.0,31.69999998807907,2385.031000011921,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I2,3,4.0,24,0.8999999761581421,0.0,23.100000023841858,2357.2459999642374,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I2,4,4.0,24,1.2000000476837158,0.0,22.799999952316284,2365.678,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I2,5,4.0,32,1.4000000357627869,0.0,30.599999964237213,2354.314000011921,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I2,6,4.0,24,1.0,0.0,23.0,2348.123000011921,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
form,I2,7,4.0,32,1.199999988079071,0.0,30.80000001192093,2414.402000023842,2,0,0,0,D:\Projects\scopus\stat\results\form_cpu-2-8\default_CPUx4
